Date,Shares
1,114
2,742
3,1538
4,575
5,248
6,921
7,338
8,395
9,58
10,241
11,169
12,37
13,703
14,1422
15,263
16,221
17,92
18,3134
19,32171
20,7640
21,1271
22,2076
23,53549
24,8289
25,6004
26,2178
27,642
28,341
29,2946
30,2615
31,808
32,8403
33,5555
34,2510
35,83259
36,9922
37,5914
38,3934
39,30162
40,66525
41,3672
42,9314
43,13047
44,32028
45,8956
46,10342
47,6182
48,6034
49,2022
50,1626
51,14975
52,4276
53,4901
54,3613
55,28255
56,16562
57,8325
58,14531
59,6521
60,7179
61,2497
62,6424
63,2000
64,1993
65,3867
66,22968
67,2872
68,5197
69,13129
70,34873
71,13140
72,10173
73,18267
74,34897
75,19766
76,19525
77,13814
78,33449
79,2361
80,4459
81,5969
82,52665
83,12879
84,17864
85,3140
86,14270
87,1106
88,2943
89,4272
90,5286
91,3474
92,1546
93,41196
94,1654
95,25123
96,9920
97,8136
98,4258
99,2344
100,2720
101,7571
102,42793
103,13278
104,6014
105,4729
106,33347
107,6074
108,1272
109,1729
110,2710
111,1729
112,743
113,1925
114,3159
115,1005
116,4331
117,3421
118,6046
119,1816
120,6260
121,6697
122,1793
123,1182
124,4492
125,2363
126,4400
127,527
128,1549
129,692
130,574
131,6257
132,3500
133,988
134,6015
135,3252
136,5817
137,425
138,8123
139,9652
140,1898
141,9302
142,2867
143,7153
144,15011
145,15390
146,6476
147,7248
148,3135
149,17968
150,1613
151,1800
152,756
153,721
154,1602
155,20986
156,4521
157,2932
158,1959
159,24899
160,20841
161,19000
162,3383
163,2074
164,3468
165,60481
166,23912
167,15115
168,17567
169,49050
170,10143
171,8111
172,7938
173,12887
174,39879
175,11729
176,5320
177,33265
178,24825
179,44276
180,3772
181,10632
182,41621
183,17825
184,4165
185,4487
186,6188
187,143504
188,101384
189,27830
190,9487
191,14254
192,5610
193,7589
194,9954
195,6093
196,4468
197,3313
198,1413
199,666
200,10798
201,5007
202,7567
203,5199
204,252
205,299
206,197
207,1196
208,17113
209,2478
210,890
211,4581
212,878
213,3224
214,1185
215,6817
216,6005
217,684
218,2257
219,4681
220,893
221,3820
222,881
223,3198
224,147
225,1886
226,673
227,1008
228,1219
229,11888
230,9645
231,1752
232,1163
233,66
234,334
235,2853
236,937
237,69
238,1279
239,3023
240,8291
241,2160
242,665
243,978
244,4210
245,2014
246,769
247,67
248,709
249,5636
250,7802
251,3178
252,374
253,204
254,365
255,681
256,492
257,1672
258,11147
259,4629
260,538
261,489
262,710
263,2222
264,578
265,400
266,19
267,1876
268,137
269,1175
270,1345
271,660
272,938
273,1795
274,2473
275,376
276,490
277,9943
278,7169
279,6497
280,5481
281,552
282,1302
283,744
284,2557
285,1662
286,7298
287,1831
288,2542
289,438
290,967
291,5278
292,3619
293,5571
294,2057
295,298
296,1994
297,1149
298,1346
299,12984
300,8199
301,21715
302,1975
303,1669
304,2589
305,4888
306,10467
307,5075
308,2816
309,16693
310,2259
311,5657
312,1731
313,3460
314,8171
315,2087
316,5484
317,5272
318,9776
319,9496
320,5809
321,2438
322,1959
323,64725
324,4313
325,4780
326,10632
327,4523
328,18726
329,3820
330,2851
331,2110
332,4313
333,9805
334,18756
335,9037
336,9727
337,3675
338,3524
339,5811
340,6278
341,14544
342,15013
343,10695
344,6837
345,6785
346,15888
347,8745
348,49457
349,3452
350,17802
351,10143
352,2055
353,7423
354,18879
355,13504
356,7638
357,10328
358,3835
359,5742
360,3109
361,7908
362,3404
363,9999
364,4711
365,7328
366,4673
367,1348
368,12289
369,3281
370,8402
371,1464
372,4627
373,3479
374,3459
375,11184
376,12259
377,30112
378,10345
379,42957
380,16413
381,11965
382,8522
383,3412
384,4134
385,11323
386,1916
387,1551
388,1603
389,12884
390,10501
391,4748
392,4257
393,6138
394,3299
395,1024
396,530
397,1158
398,1867
399,71231
400,8501
401,1826
402,8561
403,5330
404,7793
405,5199
406,1152
407,2591
408,1837
409,1527
410,2611
411,2111
412,760
413,1712
414,1017
415,1197
416,1014
417,3450
418,1872
419,2351
420,2921
421,4326
422,890
423,860
424,995
425,4644
426,926
427,5311
428,3097
429,2105
430,1408
431,2567
432,1553
433,1237
434,1087
